,vehicle,year,msrp,acceleration,mpg,class
73,ML450 4natic,2010,55164.33,12.99,22.0,SUV
74,Silverado 15 2WD,2010,38454.56,11.76,22.0,Pickup Truck
75,S400,2010,88212.78,12.99,21.0,Large
76,Aqua,2011,22850.87,9.35,50.0,Compact
77,Lexus CT200h,2011,30082.16,9.71,42.0,Compact
78,Civic (3rd Gen),2011,24999.59,9.6,44.36,Compact
79,Prius alpha (V),2011,30588.35,10.0,72.92,Midsize
80,3008,2011,45101.54,11.36,61.16,Compact
81,Fit Shuttle,2011,16394.36,7.52,58.8,Minivan
82,Buick Regal,2011,27948.93,12.05,25.99,Midsize
83,Prius V,2011,27272.28,9.51,32.93,Midsize
84,Freed/Freed Spike,2011,27972.07,6.29,50.81,Minivan
85,Optima K5,2011,26549.16,10.54,36.0,Midsize
86,Escape FWD,2011,30661.34,12.35,32.0,SUV
87,Insight,2011,18254.38,9.52,41.0,Compact
88,MKZ FWD,2011,34748.52,11.49,39.0,Midsize
89,CR-Z,2011,19402.8,12.2,37.0,Two Seater
90,Sonata,2011,25872.07,11.9,36.0,Midsize
91,Camry,2011,27130.82,13.89,33.0,Midsize
92,Tribute 2WD,2011,26213.09,12.5,32.0,SUV
93,Cayenne S,2011,67902.28,18.52,21.0,SUV
94,Touareg,2011,50149.39,16.13,21.0,SUV
95,ActiveHybrid 7i,2011,102605.66,18.18,20.0,Midsize
96,Prius C,2012,19006.62,9.35,50.0,Compact
97,Prius PHV,2012,32095.61,8.82,50.0,Midsize
98,Ampera,2012,31739.55,11.11,37.0,Compact
99,ActiveHybrid 5,2012,62180.23,16.67,26.0,Midsize
100,Lexus GS450h,2012,59126.14,16.95,31.0,Midsize
101,Insight,2012,18555.28,9.42,42.0,Compact
102,Chevrolet Volt,2012,39261.96,11.11,37.0,Compact
103,Camry LE,2012,26067.66,13.16,41.0,Midsize
104,MKZ FWD,2012,34858.84,11.49,39.0,Midsize
105,M35h,2012,53860.45,19.23,29.0,Midsize
106,LaCrosse,2012,30049.52,11.36,29.0,Midsize
107,ActiveHybrid 5,2012,61132.11,17.54,26.0,Midsize
108,Panamera S,2012,95283.85,17.54,25.0,Large
109,Yukon 1500,2012,52626.77,13.5,21.0,SUV
110,Prius C,2013,19080.0,8.7,50.0,Compact
111,Jetta,2013,24995.0,12.66,45.0,Compact
112,Civic,2013,24360.0,10.2,44.0,Compact
113,Prius,2013,24200.0,10.2,50.0,Midsize
114,Fusion FWD,2013,27200.0,11.72,47.0,Midsize
115,C-Max FWD,2013,25200.0,12.35,43.0,Large
116,Insight,2013,18600.0,11.76,42.0,Compact
117,Camry LE,2013,26140.0,13.51,41.0,Midsize
118,Camry LXLE,2013,27670.0,13.33,40.0,Midsize
119,Sonata,2013,25650.0,11.76,38.0,Midsize
120,Optima,2013,25900.0,11.63,38.0,Midsize
121,Sonata Limited,2013,30550.0,11.76,37.0,Midsize
122,Optima EX,2013,31950.0,11.36,37.0,Midsize
123,Malibu,2013,24985.0,11.49,29.0,Midsize
124,LaCrosse,2013,31660.0,11.36,29.0,Midsize
125,Regal,2013,29015.0,12.2,29.0,Midsize
126,RX 450h,2013,46310.0,12.99,30.0,SUV
127,Highlander 4WD,2013,40170.0,13.89,28.0,SUV
128,Q5,2013,50900.0,14.71,26.0,SUV
129,Cayenne S,2013,69850.0,16.39,21.0,SUV
130,Touareg,2013,62575.0,16.13,21.0,SUV
131,Escalade 2WD,2013,74425.0,11.63,21.0,SUV
132,Tahoe 2WD,2013,53620.0,11.9,21.0,SUV
133,Yukon 1500,2013,54145.0,11.88,21.0,SUV
134,Yukon 1500,2013,61960.0,13.33,21.0,SUV
135,MKZ FWD,2013,35925.0,14.03,45.0,Midsize
136,CT 200h,2013,32050.0,10.31,42.0,Compact
137,ES 300h,2013,39250.0,12.35,40.0,Midsize
138,ILX,2013,28900.0,9.26,38.0,Compact
139,ActiveHybrid 3,2013,49650.0,14.93,28.0,Compact
140,Silverado 15 2WD,2013,41135.0,12.35,21.0,Pickup Truck
141,Sierra 15 2WD,2013,41555.0,10.0,21.0,Pickup Truck
142,GS 450h,2013,59450.0,16.67,31.0,Midsize
143,M35h,2013,54750.0,19.61,29.0,Midsize
144,E400,2013,55800.0,14.93,26.0,Midsize
145,ActiveHybrid 5,2013,61400.0,12.99,26.0,Midsize
146,ActiveHybrid 7L,2013,84300.0,18.18,25.0,Large
147,Panamera S,2013,96150.0,18.52,25.0,Large
148,S400,2013,92350.0,13.89,21.0,Large
149,Prius Plug-in,2013,32000.0,9.17,50.0,Midsize
150,C-Max Energi Plug-in,2013,32950.0,11.76,43.0,Midsize
151,Fusion Energi Plug-in,2013,38700.0,11.76,43.0,Midsize
152,Chevrolet Volt,2013,39145.0,11.11,37.0,Compact
